run_id,code,model,p,AdjR2,chi2_red,AICc,RMSE,R2,params
run 4,M23,Fractal-BA (fractal YN),3,0.998773907459802,0.0001276466009046,-12836.649241529083,0.0112941284545263,0.9987756210762104,k_YN0=0.245005;tau=775.724;h=0.755388
run 5,M01,Logistic (BA/Thomas/YN),2,0.9438524770952388,0.0040203503893512,-4526.940855576949,0.0634062330481098,0.9439209496841472,k_YN=0.00385243;tau=342.617
run 5,M02,Clark,3,0.9659236547914902,0.002439980263405,-4935.919453425172,0.0493659907681816,0.9660067678285842,r=0.00282153;A=0.0172099;n=1.01
run 5,M04,Modified Dose-Response,2,0.993395789140649,0.0004728835810759,-6284.106720846733,0.0217458865323073,0.9934038430563312,a=1.30051;t50=236.039
run 5,M05,"Wolborska (early, C/C0≤0.15)",2,0.955723073932674,9.500320957841589e-05,-89.13314861784116,0.009746958991317,0.9606427323845992,slope=0.0437903;intercept=-3.64916
run 5,M06,Gudermannian,2,0.9465575010396068,0.0038266616297172,-4567.478776872711,0.0618600164057305,0.9466226748188268,k=0.0031131;tau=338.627
run 5,M07,Error function,2,0.939464164533198,0.0043345682426895,-4465.158186160507,0.0658374380021695,0.9395379887227916,k=0.00165977;tau=347.617
run 5,M14,Weibull,2,0.9989938968555834,7.204034940676244e-05,-7828.919088020635,0.0084876586528183,0.9989951238106376,tau=398.252;k=0.71278
run 5,M16,Klinkenberg,2,0.1797490611921987,0.0587327100216921,-2325.32447131269,0.2423483237443414,0.1807493672151351,K_fa=1;K=670.98
run 5,M23,Fractal-BA (fractal YN),3,0.9974781205677812,0.0001805750001547,-7073.47425269733,0.0134296134664818,0.9974842714932256,k_YN0=0.375371;tau=244.547;h=0.799187
run 6,M01,Logistic (BA/Thomas/YN),2,0.941625709713953,0.0032554573828442,-1630.2799087710036,0.0570566155922716,0.941831252989608,k_YN=0.00394886;tau=349.692
run 6,M02,Clark,3,0.960486855811683,0.0022035960752056,-1740.4649238398556,0.0468594656033973,0.960765117390474,r=0.00284712;A=0.0177951;n=1.01
run 6,M04,Modified Dose-Response,2,0.9969231532126956,0.0001715916979979,-2469.026431689808,0.0130993014316794,0.9969339871802564,a=1.2389;t50=239.894
run 6,M05,"Wolborska (early, C/C0≤0.15)",2,0.947381184232047,0.0001382288559447,inf,0.0117570768452331,0.9736905921160236,slope=0.0400946;intercept=-3.73874
run 6,M06,Gudermannian,2,0.9438679730419228,0.0031304093065498,-1641.443078879189,0.0559500608270434,0.9440656210241696,k=0.00316361;tau=346.658
run 6,M07,Error function,2,0.9381554918771552,0.0034489868668263,-1613.8218019205408,0.0587280756267934,0.9383732542297004,k=0.00171895;tau=353.317
run 6,M14,Weibull,2,0.9972995749677914,0.000150599151867,-2506.217826534284,0.0122718846094259,0.9973090835066372,tau=417.703;k=0.672637
run 6,M16,Klinkenberg,2,0.3249461695074812,0.0376468641507312,-932.6235983996022,0.1940279983680995,0.3273231196148493,K_fa=1;K=715.609
run 6,M23,Fractal-BA (fractal YN),3,0.9989525728548404,5.841363408432545e-05,-2775.099443889993,0.0076293659948465,0.9989599491023416,k_YN0=0.528911;tau=245.942;h=0.86454
run 8,M01,Logistic (BA/Thomas/YN),2,0.9416201611058912,0.0027195480592586,-1504.3191049690245,0.0521492862775573,0.9418500029913012,k_YN=0.00393298;tau=347.975
run 8,M02,Clark,3,0.9616208289990864,0.0017878432347305,-1610.2422161820612,0.0421992495274524,0.961923027195944,r=0.00290121;A=0.0180663;n=1.01
run 8,M04,Modified Dose-Response,2,0.9974271207821364,0.0001198541965204,-2300.415083988012,0.0109477941394816,0.997437250227876,a=1.33102;t50=250.401
run 8,M05,"Wolborska (early, C/C0≤0.15)",2,,inf,inf,inf,,slope=nan;intercept=nan
run 8,M06,Gudermannian,2,0.9445788745893066,0.0025817202806256,-1517.5815936783722,0.0508106315708207,0.9447970679964351,k=0.00315854;tau=344.51
run 8,M07,Error function,2,0.9370278636365216,0.0029334742006619,-1485.0100605556488,0.0541615564830066,0.9372757854332284,k=0.0017079;tau=352.196
run 8,M14,Weibull,2,0.9962268105063112,0.000175769073008,-2202.776840301774,0.0132577929161698,0.996241665583058,tau=415.647;k=0.71751
run 8,M16,Klinkenberg,2,0.3689226609909437,0.0293979083371086,-897.302362144268,0.1714581824734786,0.3714072174437353,K_fa=1;K=696.72
run 8,M23,Fractal-BA (fractal YN),3,0.9989621922206352,4.834491128648083e-05,-2530.895314375212,0.0069392956905297,0.9989703639354336,k_YN0=0.594731;tau=253.883;h=0.872362
