run_id,fmt,code,name,converged,n,p,RSS,R2,AdjR2,RMSE,chi2_red,AIC,AICc,W_AICc,AAD,params,stderr,message,t_b,t_E,t50,q_dyn_mol_per_kg,L_MTZ_m,efficiency
50ml_6g,B,M11,Fractal Error-Function (Hu 2024),True,796,3,5.130731378022416,0.9518725629150412,0.9517511822414347,0.08038580913228348,0.0064700269584141434,-4009.303370534676,-4009.273067504373,9.85967654375977e-305,0.2959274198022172,k0=1;tau0=7992;h=0.897648,k0=0.733868;tau0=40.9795;h=0.0804822,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M12,Gompertz (Chu 2020),True,796,2,6.006984170372599,0.9436531107498008,0.943582144894322,0.08697971744792377,0.007565471247320653,-3885.7943866806277,-3885.7792542720526,9.85967654375977e-305,0.2804652682186561,alpha_G=4.35202;beta_G=0.00059108,alpha_G=0.113628;beta_G=1.45119e-05,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M13,Log-Gompertz (Chu 2020),True,796,2,4.322329219001108,0.9594555605777718,0.9594044970520511,0.0737817021390152,0.005443739570530362,-4147.780587227734,-4147.765454819159,9.85967654375977e-305,0.26980896350684197,alpha_G=40.4919;beta_G=4.5522,alpha_G=0.833166;beta_G=0.0928863,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M14,Weibull (Chu 2021),True,796,2,9.590694023769291,0.9100370903830174,0.9099237869704015,0.10990432078707886,0.012078959727669134,-3513.36952031186,-3513.354387903285,9.85967654375977e-305,0.3187721450561355,tau=8827.01;k=4.56074,tau=47.3914;k=0.139734,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M15,Avrami (Singh),True,796,2,18.15731055368801,0.8296802625356894,0.8294657540502179,0.1512221852505433,0.022868149311949634,-3005.298633038465,-3005.28350062989,9.85967654375977e-305,0.4328994359886584,k=2.54271e-08;n=1.89236,k=4.61251e-09;n=0.0157642,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M16,Klinkenberg,True,796,2,134.2766899671639,-0.2595461489278086,-0.2611324790901861,0.41123499255562085,0.16911421910222152,-1412.6385447557448,-1412.6234123471697,9.85967654375977e-305,0.7259342739047443,K_fa=1;K=10000,K_fa=0.0844967;K=735.668,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M17,Dima (wave erf),True,796,2,8.710664375513261,0.9182919703228956,0.9181890634845113,0.10474067998980639,0.010970610044727028,-3589.980691967752,-3589.965559559177,9.85967654375977e-305,0.2963860351504768,v_d=0.000124321;sigma_a=0.224284,v_d=5.94565e-07;sigma_a=0.00668407,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M18,Chern-Chien Langmuir,True,2,4,0.4288698701876221,-9306.071835668996,-9306.071835668996,0.6548815695892061,0.4288698701876221,4.920502160950441,inf,,0.9172023072063257,K_fa=0.000545814;K_L=1;q0=1;t12=7328.5,K_fa=0;K_L=0;q0=0;t12=0,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M19,Chern-Chien Freundlich,True,2,4,0.4288698701876221,-9306.071835668996,-9306.071835668996,0.6548815695892061,0.4288698701876221,4.920502160950441,inf,,0.9172023072063257,K_fa=0.000545814;n=2;q0=1;t12=7328.5,K_fa=0;n=0;q0=0;t12=0,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M20,Log-modified Bohart-Adams,True,796,2,6.4081751989077596,0.939889846886956,0.9398141414044459,0.0898373509226014,0.00807074962079063,-3834.3316100956486,-3834.3164776870735,9.85967654375977e-305,0.2972572613687039,k_BA=6.31067;log_a0_C0=8.98946,k_BA=0.159316;log_a0_C0=0.00451121,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M21,Log-modified Yoon-Nelson,True,796,2,6.408175199232604,0.9398898468839089,0.9398141414013949,0.08983735092487842,0.008070749621199753,-3834.3316100552975,-3834.3164776467224,9.85967654375977e-305,0.29725735917361185,k_YN=6.31067;tau=8018.15,k_YN=0.159316;tau=36.1716,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M22,n-Order Bohart-Adams,True,796,3,503.978970235393,-3.7274383309256622,-3.739361252315134,0.7967020895165529,0.6355346409021349,-357.8234569161187,-357.7931538858157,9.85967654375977e-305,1.2422106143065237,k_n=0.997987;a0=8644.97;n=1.37563,k_n=6.08103;a0=0.000156004;n=0.0886279,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M23,Fractal Yoon-Nelson (Hu 2024),True,796,3,6.508167688621719,0.9389518943996574,0.9387979269202115,0.09053554410492579,0.008207021044920201,-3820.006819305036,-3819.976516274733,9.85967654375977e-305,0.297563925666491,k_YN0=4.04107;tau=8021.48;h=0.95,k_YN0=6.86346;tau=43.4778;h=0.188698,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
50ml_6g,B,M24,Parallel two-component sigmoidal (Blagojev),True,796,5,0.35764833426433745,0.9966451765961519,0.9966282116231868,0.021223541366640085,0.00045214707239486405,-6125.412197112486,-6125.3362477453975,0.5,0.12912930137450968,p=0.241506;tau1=16198.3;k1=5.75336;tau2=7219.93;k2=20,p=0.00718423;tau1=409.086;k1=1.17978;tau2=7.69286;k2=0.405141,converged,6741.358620689655,,7328.5,0.0030140835440103843,,0.7651008045779553
