,sensor [Auto],,,,,,,
05/20/26 16:03:04.960,"500","1002","23.8","62.9","1001","66","21.9",
05/20/26 16:03:09.960,"500","1002","23.8","62.9","1001","66","21.9",
05/20/26 16:03:14.961,"500","1002","23.8","62.9","1001","66","21.9",
05/20/26 16:03:19.960,"500","1002","23.8","62.9","1001","66","21.9",
05/20/26 16:03:24.961,"500","1002","23.8","63","1001","66","21.9",
05/20/26 16:03:29.961,"500","1002","23.8","63","1001","66","21.9",
05/20/26 16:03:34.961,"500","1002","23.8","63.3","1001","66","21.9",
05/20/26 16:03:39.960,"500","1002","23.8","63.2","1001","66","21.9",
05/20/26 16:03:44.960,"500","1002","23.8","63.5","1001","66","21.9",
05/20/26 16:03:49.961,"500","1002","23.9","63.5","1001","66","21.9",
05/20/26 16:03:54.961,"500","1002","23.9","63.2","1001","66","21.9",
05/20/26 16:03:59.961,"500","1002","23.8","63.1","1001","66","21.9",
05/20/26 16:04:04.961,"500","1002","23.8","63.2","1001","66","21.9",
05/20/26 16:04:09.961,"500","1002","23.8","62.9","1001","65","21.9",
05/20/26 16:04:14.961,"500","1002","23.8","62.8","1001","65","21.9",
05/20/26 16:04:19.961,"500","1002","23.8","62.9","1001","65","21.9",
05/20/26 16:04:24.961,"500","1002","23.8","62.8","1001","65","21.9",
05/20/26 16:04:29.961,"500","1002","23.9","62.9","1001","66","21.9",
05/20/26 16:04:34.961,"500","1002","23.9","63.2","1001","66","21.9",
05/20/26 16:04:39.962,"400","1002","23.9","63.4","1001","66","21.9",
05/20/26 16:04:44.961,"400","1002","23.8","63.1","1001","66","21.9",
05/20/26 16:04:49.962,"400","1002","23.9","62.7","1001","65","21.9",
05/20/26 16:04:54.961,"500","1002","23.9","62.6","1001","65","21.9",
05/20/26 16:04:59.961,"500","1002","23.9","63.2","1001","66","21.9",
05/20/26 16:05:04.961,"500","1002","23.9","63.1","1001","66","21.9",
05/20/26 16:05:09.961,"500","1002","23.9","62.9","1001","66","21.9",
05/20/26 16:05:14.962,"400","1002","23.9","62.7","1001","66","21.9",
05/20/26 16:05:19.962,"400","1002","23.9","62.9","1001","66","21.9",
05/20/26 16:05:24.961,"400","1002","23.9","62.7","1001","66","21.9",
05/20/26 16:05:29.961,"400","1002","23.9","62.5","1001","65","21.9",
05/20/26 16:05:34.962,"400","1002","23.9","62.6","1001","66","21.9",
05/20/26 16:05:39.961,"400","1002","23.9","62.6","1001","65","21.9",
05/20/26 16:05:44.961,"400","1002","23.9","62.4","1001","65","21.9",
05/20/26 16:05:49.962,"400","1002","23.8","62.6","1001","65","21.9",
05/20/26 16:05:54.961,"400","1002","23.8","62.7","1001","66","21.9",
05/20/26 16:05:59.962,"400","1002","23.8","62.5","1001","65","21.9",
05/20/26 16:06:04.962,"400","1002","23.8","62.7","1001","66","21.9",
05/20/26 16:06:09.962,"400","1002","23.8","62.9","1001","66","21.8",
05/20/26 16:06:14.962,"400","1002","23.8","63","1001","66","21.9",
05/20/26 16:06:19.962,"400","1002","23.8","62.8","1001","66","21.8",
05/20/26 16:06:24.962,"400","1002","23.8","62.5","1001","65","21.8",
05/20/26 16:06:29.962,"400","1002","23.8","62.5","1001","65","21.8",
05/20/26 16:06:35.001,"400","1002","23.8","62.6","1001","65","21.8",
05/20/26 16:06:40.046,"400","1002","23.8","62.9","1001","65","21.8",
05/20/26 16:06:45.109,"400","1002","23.8","63.2","1001","66","21.8",
05/20/26 16:06:50.193,"400","1002","23.8","63.2","1001","66","21.8",
05/20/26 16:06:55.358,"400","1002","23.8","62.6","1001","65","21.8",
05/20/26 16:07:00.480,"400","1002","23.8","62.8","1001","66","21.8",
05/20/26 16:07:05.681,"400","1002","23.8","63.2","1001","66","21.8",
05/20/26 16:07:10.923,"400","1002","23.9","63.4","1001","66","21.8",
05/20/26 16:07:16.207,"400","1002","23.9","63.2","1001","66","21.8",
05/20/26 16:07:21.548,"400","1002","23.9","63","1001","66","21.8",
05/20/26 16:07:26.866,"400","1002","23.9","63.4","1001","66","21.8",
05/20/26 16:07:32.182,"400","1002","23.9","63.1","1001","66","21.8",
05/20/26 16:07:37.533,"400","1002","23.9","63","1001","66","21.8",
05/20/26 16:07:42.917,"400","1002","24","63.1","1001","66","21.8",
05/20/26 16:07:48.243,"400","1002","24","62.8","1001","66","21.9",
05/20/26 16:07:53.601,"400","1002","24","62.9","1001","66","21.9",
05/20/26 16:07:59.068,"300","1002","24","63","1001","66","21.9",
05/20/26 16:08:04.577,"300","1002","24","63","1001","66","21.9",
05/20/26 16:08:10.123,"400","1002","24","62.9","1001","66","21.9",
05/20/26 16:08:15.709,"400","1002","24","62.5","1001","66","21.9",
05/20/26 16:08:21.368,"400","1002","24.1","62.1","1001","66","21.9",
05/20/26 16:08:27.008,"400","1002","24.1","61.9","1001","66","21.9",
05/20/26 16:08:32.680,"300","1002","24.1","62.1","1001","66","21.9",
05/20/26 16:08:38.374,"400","1002","24.2","62.2","1001","66","21.9",
05/20/26 16:08:44.090,"300","1002","24.2","62.1","1001","66","21.9",
05/20/26 16:08:49.913,"300","1002","24.2","62.3","1001","66","22",
05/20/26 16:08:55.726,"300","1002","24.2","62.4","1001","66","22",
05/20/26 16:09:01.588,"300","1002","24.2","62.3","1001","66","22",
05/20/26 16:09:07.443,"300","1002","24.2","62.5","1001","66","22",
05/20/26 16:09:13.401,"300","1002","24.2","62.5","1001","66","22",
05/20/26 16:09:19.364,"300","1002","24.1","62.2","1001","66","22",
05/20/26 16:09:25.321,"300","1002","24.1","62.3","1001","66","22",
05/20/26 16:09:31.373,"300","1002","24.1","62.2","1001","66","22",
05/20/26 16:09:37.441,"300","1002","24.1","62.4","1001","66","22",
05/20/26 16:09:43.570,"300","1002","24.1","62.3","1001","66","22",
05/20/26 16:09:49.707,"300","1002","24","62.5","1001","66","22",
05/20/26 16:09:55.855,"300","1002","24.1","62.6","1001","66","22",
05/20/26 16:10:02.004,"300","1002","24.1","62.7","1001","66","22",
05/20/26 16:10:08.217,"300","1002","24.1","62.4","1001","66","22",
05/20/26 16:10:14.525,"300","1002","24.1","62.5","1001","66","22",
05/20/26 16:10:20.755,"300","1002","24.1","62.5","1001","66","22",
05/20/26 16:10:27.062,"300","1002","24.1","62.5","1001","66","22",
05/20/26 16:10:33.412,"300","1002","24.1","62.6","1001","66","22",
05/20/26 16:10:39.884,"300","1002","24.1","62.5","1001","66","22",
05/20/26 16:10:46.279,"300","1002","24.1","62.2","1001","65","22",
05/20/26 16:10:52.782,"200","1002","24.1","62.1","1001","65","22",
05/20/26 16:10:59.265,"200","1002","24.1","62","1001","65","22",
05/20/26 16:11:05.803,"200","1002","24.1","62.3","1001","66","22",
05/20/26 16:11:12.463,"200","1002","24.1","62.7","1001","66","22",
05/20/26 16:11:19.069,"200","1002","24.1","62.7","1001","66","22",
05/20/26 16:11:25.744,"300","1002","24.2","62.4","1001","66","22",
05/20/26 16:11:32.443,"200","1002","24.1","62.7","1001","66","22",
05/20/26 16:11:39.191,"300","1002","24.1","62.4","1001","66","22",
05/20/26 16:11:45.953,"200","1002","24.2","62","1001","66","22",
05/20/26 16:11:52.771,"200","1002","24.2","61.9","1001","65","22",
05/20/26 16:11:59.576,"300","1002","24.1","62.2","1001","65","22",
05/20/26 16:12:06.407,"200","1002","24.1","62.1","1001","65","22",
05/20/26 16:12:13.262,"200","1002","24.1","62.3","1001","66","22",
05/20/26 16:12:20.181,"200","1002","24.1","62.6","1001","66","22",
05/20/26 16:12:27.132,"200","1002","24.1","62.6","1001","66","22",
05/20/26 16:12:34.135,"200","1002","24.1","62.3","1001","66","22",
05/20/26 16:12:41.194,"200","1002","24.1","62.1","1001","65","22",
05/20/26 16:12:48.297,"300","1002","24.2","62.6","1001","66","22",
05/20/26 16:12:55.353,"300","1002","24.2","62.5","1001","66","22",
05/20/26 16:13:02.468,"200","1002","24.2","62.4","1001","66","22",
05/20/26 16:13:09.616,"200","1002","24.2","62.3","1001","66","22",
05/20/26 16:13:16.789,"200","1002","24.2","62","1001","65","22.1",
05/20/26 16:13:24.043,"200","1002","24.2","62.1","1001","65","22",
05/20/26 16:13:31.361,"200","1002","24.2","62.4","1001","66","22",
05/20/26 16:13:38.710,"200","1002","24.1","62.1","1001","65","22",
05/20/26 16:13:46.053,"300","1002","24.1","61.8","1001","65","22",
05/20/26 16:13:53.499,"200","1002","24","62","1001","65","22",
05/20/26 16:14:00.902,"200","1002","24","62.2","1001","65","22",
05/20/26 16:14:08.319,"200","1002","24","62.2","1001","65","22",
05/20/26 16:14:15.865,"200","1002","24","62.4","1001","65","22",
05/20/26 16:14:23.472,"200","1002","24","62.4","1001","65","22",
05/20/26 16:14:31.104,"200","1002","24","62.5","1001","65","22",
05/20/26 16:14:38.715,"200","1002","24","62.8","1001","66","22",
05/20/26 16:14:46.414,"200","1002","24","63.1","1001","66","22",
05/20/26 16:14:54.056,"200","1002","24.1","62.8","1001","66","22",
05/20/26 16:15:01.753,"100","1002","24.1","62.6","1001","66","22",
05/20/26 16:15:09.434,"200","1002","24.1","62.3","1001","66","22",
05/20/26 16:15:17.200,"100","1002","24.1","62.3","1001","66","22",
05/20/26 16:15:25.027,"200","1002","24.1","62.3","1001","66","22",
05/20/26 16:15:32.812,"200","1002","24.1","62.6","1001","66","22",
05/20/26 16:15:40.623,"200","1002","24.1","62.7","1001","66","22",
05/20/26 16:15:48.504,"200","1002","24.1","62.3","1001","66","22",
05/20/26 16:15:56.453,"200","1002","24.1","62.2","1001","66","22",
05/20/26 16:16:04.345,"200","1002","24.1","62.2","1001","66","22",
05/20/26 16:16:12.291,"200","1002","24.2","62.2","1001","66","22",
05/20/26 16:16:20.241,"100","1002","24.2","62","1001","66","22",
05/20/26 16:16:28.227,"200","1002","24.2","61.9","1001","66","22",
05/20/26 16:16:36.261,"200","1002","24.2","61.8","1001","65","22",
05/20/26 16:16:44.300,"200","1002","24.2","61.9","1001","65","22",
05/20/26 16:16:52.321,"200","1002","24.1","61.7","1001","65","22",
05/20/26 16:17:00.438,"200","1002","24.1","61.7","1001","65","22",
05/20/26 16:17:08.574,"100","1002","24.1","62.2","1001","66","22",
05/20/26 16:17:16.726,"100","1002","24.1","61.9","1001","65","22",
05/20/26 16:17:24.899,"200","1002","24.1","62","1001","65","22",
05/20/26 16:17:33.078,"200","1002","24.1","62.2","1001","65","22",
05/20/26 16:17:41.297,"200","1002","24.1","62.5","1001","66","22",
05/20/26 16:17:49.567,"100","1002","24.1","62.1","1001","65","22",
05/20/26 16:17:57.878,"100","1002","24.1","62.3","1001","65","22",
05/20/26 16:18:06.188,"200","1002","24","62.1","1001","65","22",
05/20/26 16:18:14.488,"200","1002","24","62.5","1001","66","22",
05/20/26 16:18:22.857,"200","1002","24","62.5","1001","66","22",
05/20/26 16:18:31.225,"200","1002","24","62.8","1001","66","22",
05/20/26 16:18:39.657,"200","1002","24","62.5","1001","66","22",
05/20/26 16:18:48.076,"200","1002","24","62.6","1001","65","22",
05/20/26 16:18:56.643,"100","1002","23.9","62","1001","65","22",
05/20/26 16:19:05.136,"100","1002","23.9","62.2","1001","65","22",
05/20/26 16:19:13.662,"100","1002","23.9","62.5","1001","65","22",
05/20/26 16:19:22.302,"200","1002","23.9","62.4","1001","65","22",
05/20/26 16:19:30.935,"100","1002","23.8","62.3","1001","65","21.9",
05/20/26 16:19:39.524,"200","1002","23.8","62.6","1001","65","21.9",
05/20/26 16:19:48.215,"200","1002","23.8","63.1","1001","65","21.9",
05/20/26 16:19:56.947,"100","1002","23.8","62.9","1001","65","21.9",
05/20/26 16:20:05.668,"100","1002","23.8","63","1001","66","21.9",
05/20/26 16:20:14.416,"100","1002","23.8","62.6","1001","65","21.9",
05/20/26 16:20:23.210,"100","1002","23.8","62.4","1001","65","21.9",
05/20/26 16:20:32.020,"100","1002","23.8","62.5","1001","65","21.9",
05/20/26 16:20:40.836,"100","1002","23.8","62.9","1001","65","21.9",
05/20/26 16:20:49.669,"100","1002","23.8","62.7","1001","65","21.9",
05/20/26 16:20:58.545,"100","1002","23.8","62.9","1001","65","21.9",
05/20/26 16:21:07.506,"100","1002","23.8","63","1001","66","21.9",
05/20/26 16:21:16.440,"100","1002","23.8","63.6","1001","66","21.9",
05/20/26 16:21:25.402,"100","1002","23.8","63.2","1001","66","21.9",
05/20/26 16:21:34.403,"100","1002","23.9","63","1001","66","21.9",
05/20/26 16:21:43.462,"100","1002","23.9","62.8","1001","66","21.9",
05/20/26 16:21:52.482,"100","1002","23.9","63.1","1001","66","21.9",
05/20/26 16:22:01.519,"100","1002","23.9","63.1","1001","66","21.9",
05/20/26 16:22:10.616,"0","1002","24","63.2","1001","66","21.9",
05/20/26 16:22:19.710,"0","1002","24","63.2","1001","66","21.9",
05/20/26 16:22:28.857,"100","1002","24","63","1001","66","21.9",
05/20/26 16:22:38.032,"100","1002","24","63.2","1001","66","21.9",
05/20/26 16:22:47.253,"100","1002","24","62.5","1001","66","21.9",
05/20/26 16:22:56.505,"100","1002","23.9","62.9","1001","66","21.9",
05/20/26 16:23:05.802,"100","1002","24","63.1","1001","66","21.9",
05/20/26 16:23:15.082,"100","1002","24","62.8","1001","66","21.9",
05/20/26 16:23:24.424,"100","1002","23.9","62.9","1001","66","21.9",
05/20/26 16:23:33.743,"100","1002","23.9","63.1","1001","66","21.9",
05/20/26 16:23:43.096,"100","1002","23.9","63.2","1001","66","21.9",
05/20/26 16:23:52.447,"100","1002","23.9","63.3","1001","66","21.9",
05/20/26 16:24:01.872,"100","1002","23.9","63.2","1001","66","21.9",
05/20/26 16:24:11.288,"100","1002","23.9","62.6","1001","66","21.9",
05/20/26 16:24:20.765,"0","1002","23.9","62.6","1001","65","21.9",
05/20/26 16:24:30.287,"0","1002","23.8","62.4","1001","65","21.9",
05/20/26 16:24:39.823,"0","1002","23.8","63.2","1001","66","21.9",
05/20/26 16:24:49.387,"100","1002","23.8","63.3","1001","66","21.9",
05/20/26 16:24:58.938,"100","1002","23.9","63.5","1001","66","21.9",
05/20/26 16:25:08.537,"0","1002","23.9","63.2","1001","66","21.9",
05/20/26 16:25:18.646,"100","1002","23.9","62.8","1001","66","21.9",
05/20/26 16:25:28.947,"0","1002","23.9","62.8","1001","66","21.9",
05/20/26 16:25:39.380,"100","1002","23.9","62.8","1001","66","21.9",
05/20/26 16:25:49.716,"100","1002","23.9","62.9","1001","66","21.9",
05/20/26 16:26:00.084,"100","1002","23.9","63","1001","66","21.9",
05/20/26 16:26:10.557,"100","1002","23.9","63.1","1001","66","21.9",
05/20/26 16:26:20.231,"100","1002","23.9","63","1001","66","21.9",
05/20/26 16:26:29.704,"500","1002","23.9","63","1001","66","21.9",
05/20/26 16:26:40.425,"4900","1002","23.9","63.1","1001","66","21.9",
05/20/26 16:26:50.960,"12300","1002","23.9","63.3","1001","66","21.9",
05/20/26 16:27:00.877,"20400","1002","23.9","63.3","1001","66","21.9",
05/20/26 16:27:10.776,"28100","1002","23.9","63.3","1001","66","21.9",
05/20/26 16:27:20.770,"34300","1002","24","63.1","1001","66","21.9",
05/20/26 16:27:30.802,"38400","1002","24","63.1","1001","66","21.9",
05/20/26 16:27:40.807,"40700","1002","24","62.4","1001","66","21.9",
05/20/26 16:27:50.861,"41600","1002","24","62.3","1001","66","21.9",
05/20/26 16:28:00.867,"42300","1002","24","62.9","1001","66","21.9",
05/20/26 16:28:11.003,"42300","1002","24","62.8","1001","66","21.9",
05/20/26 16:28:21.110,"42900","1002","24","62.8","1001","66","21.9",
05/20/26 16:28:31.306,"42800","1002","24","62.4","1001","65","21.9",
05/20/26 16:28:41.536,"42900","1002","24","62.6","1001","66","21.9",
05/20/26 16:28:51.744,"42800","1002","24","62.7","1001","66","21.9",
05/20/26 16:29:02.017,"43000","1002","24","62.4","1001","65","21.9",
05/20/26 16:29:12.323,"43200","1002","23.9","62.5","1001","66","21.9",
05/20/26 16:29:22.729,"43300","1002","23.9","62.5","1001","65","21.9",
05/20/26 16:29:33.166,"43600","1002","23.9","62.8","1001","66","21.9",
05/20/26 16:29:43.680,"43600","1002","23.9","62.7","1001","65","21.9",
05/20/26 16:29:54.155,"43800","1002","23.9","62.5","1001","65","21.9",
05/20/26 16:30:04.622,"43700","1002","23.9","62.7","1001","66","21.9",
05/20/26 16:30:15.203,"43700","1002","23.9","62.4","1001","65","21.9",
05/20/26 16:30:25.735,"44000","1002","24","62.3","1001","65","21.9",
05/20/26 16:30:36.358,"44100","1002","23.9","62","1001","65","21.9",
05/20/26 16:30:46.968,"44100","1002","23.9","62.5","1001","65","21.9",
05/20/26 16:30:57.578,"44000","1002","23.8","62.5","1001","65","21.9",
05/20/26 16:31:08.239,"44200","1002","23.8","62.6","1001","65","21.9",
05/20/26 16:31:18.968,"43900","1002","23.8","62.8","1001","65","21.9",
05/20/26 16:31:29.745,"44300","1002","23.8","62.8","1001","65","21.9",
05/20/26 16:31:40.516,"44000","1002","23.7","62.8","1001","65","21.9",
05/20/26 16:31:51.291,"43900","1002","23.7","63.1","1001","65","21.8",
05/20/26 16:32:02.146,"44000","1002","23.8","63.1","1001","66","21.8",
05/20/26 16:32:12.999,"44200","1002","23.8","63","1001","66","21.8",
05/20/26 16:32:24.242,"44400","1002","23.9","63","1001","66","21.9",
05/20/26 16:32:35.905,"44300","1002","23.9","62.5","1001","66","21.9",
05/20/26 16:32:47.785,"43900","1002","23.9","62.7","1001","66","21.9",
05/20/26 16:32:59.613,"44200","1002","23.9","62.7","1001","66","21.9",
05/20/26 16:33:11.532,"44400","1002","23.9","62.5","1001","66","21.9",
05/20/26 16:33:23.325,"44600","1002","23.8","62.6","1001","66","21.9",
05/20/26 16:33:35.211,"44300","1002","23.8","63","1001","66","21.8",
05/20/26 16:33:47.268,"44200","1002","23.8","63.1","1001","66","21.9",
05/20/26 16:33:59.333,"44500","1002","23.8","62.6","1001","65","21.8",
05/20/26 16:34:11.246,"46400","1002","23.8","62.9","1001","66","21.8",
05/20/26 16:34:22.392,"51800","1002","23.8","63","1001","66","21.8",
05/20/26 16:34:34.018,"56100","1002","23.8","63.1","1001","66","21.8",
05/20/26 16:34:45.893,"58500","1002","23.8","62.9","1001","66","21.8",
05/20/26 16:34:57.954,"59600","1002","23.9","62.7","1001","66","21.9",
05/20/26 16:35:09.068,"60100","1002","23.9","62.6","1001","66","21.9",
05/20/26 16:35:20.902,"57200","1002","23.9","62.4","1001","66","21.9",
05/20/26 16:35:33.061,"54900","1002","23.9","62.2","1001","65","21.8",
05/20/26 16:35:44.017,"54100","1002","23.9","62.4","1001","66","21.8",
05/20/26 16:35:55.439,"54100","1002","23.9","62.9","1001","66","21.8",
05/20/26 16:36:07.852,"53700","1002","23.9","63.2","1001","66","21.9",
05/20/26 16:36:19.512,"52700","1002","23.9","62.9","1001","66","21.8",
05/20/26 16:36:30.636,"50300","1002","23.9","62.5","1001","66","21.9",
05/20/26 16:36:42.121,"48700","1002","23.9","62.8","1001","66","21.8",
05/20/26 16:36:53.201,"48300","1002","23.9","62.8","1001","66","21.9",
05/20/26 16:37:04.336,"48100","1002","23.9","62.1","1001","66","21.9",
05/20/26 16:37:16.371,"47900","1002","23.9","62.4","1001","65","21.8",
05/20/26 16:37:28.352,"47900","1002","23.9","62.5","1001","66","21.8",
05/20/26 16:37:40.697,"47900","1002","23.8","62.8","1001","66","21.8",
05/20/26 16:37:53.260,"47900","1002","23.9","62.8","1001","66","21.8",
05/20/26 16:38:06.006,"47800","1002","23.9","62.5","1001","66","21.8",
05/20/26 16:38:18.141,"47500","1002","23.9","63","1001","66","21.8",
05/20/26 16:38:30.908,"47600","1002","23.9","63.1","1001","66","21.8",
05/20/26 16:38:42.871,"48500","1002","23.9","63.1","1001","66","21.9",
05/20/26 16:38:54.284,"51100","1002","23.9","62.6","1001","66","21.9",
05/20/26 16:39:06.120,"53000","1002","23.9","62.6","1001","66","21.9",
05/20/26 16:39:18.801,"53800","1002","23.9","62.9","1001","66","21.9",
05/20/26 16:39:31.550,"53900","1002","23.9","62.7","1001","66","21.9",
05/20/26 16:39:43.607,"53800","1002","23.9","62.7","1002","66","21.9",
05/20/26 16:39:55.166,"51300","1002","23.8","62.1","1001","65","21.8",
05/20/26 16:40:06.605,"48800","1002","23.8","62.3","1002","65","21.8",
05/20/26 16:40:18.206,"47400","1002","23.8","62.6","1002","65","21.8",
05/20/26 16:40:30.467,"46900","1002","23.8","62.8","1002","66","21.8",
05/20/26 16:40:43.518,"46600","1002","23.7","62.5","1002","65","21.8",
05/20/26 16:40:56.626,"46700","1003","23.7","62.6","1002","65","21.8",
05/20/26 16:41:09.598,"47100","1003","23.8","63","1002","66","21.8",
05/20/26 16:41:22.661,"47200","1002","23.8","62.9","1002","66","21.8",
05/20/26 16:41:35.856,"47000","1002","23.8","62.7","1002","66","21.8",
05/20/26 16:41:49.034,"47300","1003","23.9","62.5","1002","66","21.8",
05/20/26 16:42:02.089,"47400","1002","23.8","62.4","1002","65","21.8",
05/20/26 16:42:13.967,"47100","1002","23.8","62.3","1002","65","21.8",
05/20/26 16:42:25.870,"47400","1003","23.8","62.6","1002","65","21.8",
05/20/26 16:42:37.788,"47400","1002","23.8","62.2","1001","65","21.8",
05/20/26 16:42:49.782,"47100","1003","23.7","62.9","1002","66","21.8",
05/20/26 16:43:01.894,"46900","1002","23.8","62.8","1002","66","21.8",
05/20/26 16:43:13.920,"47300","1003","23.8","63.1","1002","66","21.8",
05/20/26 16:43:26.576,"47300","1002","23.8","62.7","1002","66","21.8",
05/20/26 16:43:39.955,"47200","1002","23.8","62.1","1002","65","21.7",
05/20/26 16:43:53.437,"47300","1002","23.7","62.6","1002","65","21.7",
05/20/26 16:44:07.145,"47300","1002","23.7","62.6","1002","65","21.7",
05/20/26 16:44:20.894,"47700","1002","23.7","62.4","1001","65","21.7",
05/20/26 16:44:34.582,"47300","1002","23.7","62.6","1002","66","21.7",
05/20/26 16:44:47.351,"47200","1002","23.7","62.6","1001","65","21.7",
05/20/26 16:44:59.553,"47200","1002","23.7","62.5","1001","65","21.7",
05/20/26 16:45:11.932,"47100","1002","23.7","62.9","1001","66","21.7",
05/20/26 16:45:24.469,"47300","1002","23.7","62.8","1001","66","21.7",
05/20/26 16:45:36.878,"47300","1002","23.7","63","1001","66","21.7",
05/20/26 16:45:50.000,"47600","1002","23.7","62.5","1001","65","21.7",
05/20/26 16:46:03.958,"47300","1002","23.8","62.5","1001","66","21.7",
05/20/26 16:46:17.688,"47100","1002","23.8","62.4","1001","65","21.7",
