Time+F36B1A1:FA1:B1425,Concentration
05/22/26 11:32:33.596,63000
05/22/26 11:32:39.333,63400
05/22/26 11:32:45.001,63100
05/22/26 11:32:50.703,63300
05/22/26 11:32:56.470,63300
05/22/26 11:33:02.265,63900
05/22/26 11:33:08.051,63900
05/22/26 11:33:13.871,63800
05/22/26 11:33:19.710,63900
05/22/26 11:33:25.550,64100
05/22/26 11:33:31.325,64200
05/22/26 11:33:37.179,64500
05/22/26 11:33:42.923,64800
05/22/26 11:33:48.773,64500
05/22/26 11:33:54.568,65000
05/22/26 11:34:00.357,65300
05/22/26 11:34:06.099,65100
05/22/26 11:34:11.946,65400
05/22/26 11:34:17.781,65900
05/22/26 11:34:23.577,65900
05/22/26 11:34:29.368,65900
05/22/26 11:34:35.182,65700
05/22/26 11:34:41.044,66200
05/22/26 11:34:46.967,65900
05/22/26 11:34:52.791,66400
05/22/26 11:34:58.707,66200
05/22/26 11:35:04.573,66700
05/22/26 11:35:10.422,66800
05/22/26 11:35:16.302,66800
05/22/26 11:35:22.256,66800
05/22/26 11:35:28.138,67000
05/22/26 11:35:34.038,67100
05/22/26 11:35:39.926,67400
05/22/26 11:35:45.808,67700
05/22/26 11:35:51.676,67400
05/22/26 11:35:57.575,67400
05/22/26 11:36:03.482,68300
05/22/26 11:36:09.410,68200
05/22/26 11:36:15.206,68300
05/22/26 11:36:21.160,68000
05/22/26 11:36:27.066,68800
05/22/26 11:36:33.090,68800
05/22/26 11:36:39.027,68500
05/22/26 11:36:44.846,68300
05/22/26 11:36:50.793,68500
05/22/26 11:36:56.676,68800
05/22/26 11:37:02.661,69100
05/22/26 11:37:08.602,70000
05/22/26 11:37:14.559,70300
05/22/26 11:37:20.482,70000
05/22/26 11:37:26.380,69800
05/22/26 11:37:32.316,70000
05/22/26 11:37:38.221,69600
05/22/26 11:37:44.165,69800
05/22/26 11:37:50.108,69800
05/22/26 11:37:56.008,69800
05/22/26 11:38:01.968,70300
05/22/26 11:38:07.954,71000
05/22/26 11:38:13.897,71000
05/22/26 11:38:19.861,71100
05/22/26 11:38:25.822,71000
05/22/26 11:38:31.846,71100
05/22/26 11:38:37.798,71600
05/22/26 11:38:43.777,71800
05/22/26 11:38:49.800,71600
05/22/26 11:38:55.806,71500
05/22/26 11:39:01.792,71800
05/22/26 11:39:07.784,71800
05/22/26 11:39:13.800,71300
05/22/26 11:39:19.831,71500
05/22/26 11:39:25.848,71800
05/22/26 11:39:31.878,71800
05/22/26 11:39:37.823,71900
05/22/26 11:39:43.842,71900
05/22/26 11:39:49.934,71600
05/22/26 11:39:55.987,71900
05/22/26 11:40:01.993,71900
05/22/26 11:40:08.063,72600
05/22/26 11:40:14.134,73100
05/22/26 11:40:20.235,73400
05/22/26 11:40:26.269,73800
05/22/26 11:40:32.314,73600
05/22/26 11:40:38.362,73400
05/22/26 11:40:44.413,73400
05/22/26 11:40:50.400,73400
05/22/26 11:40:56.450,73600
05/22/26 11:41:02.553,73300
05/22/26 11:41:08.617,73800
05/22/26 11:41:14.688,74400
05/22/26 11:41:20.805,74200
05/22/26 11:41:26.926,74100
05/22/26 11:41:32.963,74500
05/22/26 11:41:39.063,74200
05/22/26 11:41:45.206,74500
05/22/26 11:41:51.326,74200
05/22/26 11:41:57.391,74800
05/22/26 11:42:03.512,74700
05/22/26 11:42:09.605,75000
05/22/26 11:42:15.700,74400
05/22/26 11:42:21.732,75000
05/22/26 11:42:27.858,75300
05/22/26 11:42:34.397,75100
05/22/26 11:42:41.229,74800
05/22/26 11:42:47.922,75700
05/22/26 11:42:54.582,75700
05/22/26 11:43:01.241,75600
05/22/26 11:43:07.825,76000
05/22/26 11:43:14.455,75900
05/22/26 11:43:21.004,75600
05/22/26 11:43:27.543,75900
05/22/26 11:43:34.263,76000
05/22/26 11:43:40.871,76000
05/22/26 11:43:47.502,76000
05/22/26 11:43:54.082,76300
